iter	RMSE
0	76699.52429
1	74295.89638
2	72067.78018
3	69860.60705
4	67757.02133
5	65711.55373
6	63862.31465
7	61937.68988
8	60069.12762
9	58341.63797
10	56702.7452
11	55250.24062
12	53929.0478
13	52593.82051
14	51385.25354
15	50174.16294
16	48957.53103
17	47834.64953
18	46641.06714
19	45619.83867
20	44604.82955
21	43617.82656
22	42738.09937
23	41893.05775
24	41080.56174
25	40353.60642
26	39439.36212
27	38688.63929
28	38006.46069
29	37490.46209
30	36872.79551
31	36272.1374
32	35664.84452
33	35187.16278
34	34636.8854
35	34084.09548
36	33581.47483
37	33046.28829
38	32567.29451
39	32000.97917
40	31547.85438
41	31171.82053
42	30809.74507
43	30431.23607
44	30099.1436
45	29743.1754
46	29398.24485
47	29051.58843
48	28669.00577
49	28329.19818
50	28003.1611
51	27654.13433
52	27393.17595
53	27146.22587
54	26898.5847
55	26632.64431
56	26455.70945
57	26180.27133
58	25966.24231
59	25747.42116
60	25472.79678
61	25220.38771
62	24990.79994
63	24809.49414
64	24615.7468
65	24416.8387
66	24224.0428
67	24045.95997
68	23845.4063
69	23658.05875
70	23510.20834
71	23336.19938
72	23191.9117
73	23017.30364
74	22914.97758
75	22805.16764
76	22711.39542
77	22572.22367
78	22482.28021
79	22384.74171
80	22288.31028
81	22236.60615
82	22091.34049
83	21946.49073
84	21861.75298
85	21756.87906
86	21667.67491
87	21596.67598
88	21499.54758
89	21428.49576
90	21341.3565
91	21240.44442
92	21132.78102
93	21048.78493
94	21017.12873
95	20945.40105
96	20841.81602
97	20766.32572
98	20666.18115
99	20566.50595
100	20484.27107
101	20425.97046
102	20316.48447
103	20220.07253
104	20128.49151
105	20063.59474
106	20006.43053
107	19917.04382
108	19830.04054
109	19761.47692
110	19680.84356
111	19621.18969
112	19508.58237
113	19453.68456
114	19384.254
115	19313.00298
116	19234.07084
117	19168.73388
118	19096.2602
119	19072.51542
120	19010.24075
121	18944.63254
122	18869.27667
123	18834.64709
124	18776.64911
125	18727.27054
126	18669.99475
127	18635.90057
128	18573.62944
129	18506.93966
130	18486.77851
131	18438.25398
132	18384.38668
133	18322.10478
134	18287.82039
135	18237.54034
136	18195.70105
137	18166.08558
138	18110.36743
139	18046.72031
140	18003.95485
141	17952.05146
142	17907.83201
143	17845.72724
144	17794.7262
145	17762.19681
146	17708.77108
147	17666.87537
148	17625.71991
149	17586.58259
150	17565.26193
151	17524.92399
152	17465.0586
153	17426.14808
154	17390.67111
155	17363.25621
156	17335.46717
157	17297.73351
158	17252.30531
159	17202.30484
160	17144.20101
161	17095.58661
162	17081.80172
163	17035.83322
164	16972.96593
165	16930.83138
166	16895.78925
167	16855.81203
168	16807.97673
169	16777.50505
170	16728.94775
171	16689.07467
172	16641.04837
173	16604.53355
174	16573.37568
175	16555.57049
176	16532.08311
177	16485.53886
178	16442.70678
179	16398.46532
180	16363.96171
181	16338.72175
182	16301.97157
183	16277.64534
184	16255.42763
185	16236.64517
186	16187.65679
187	16161.28134
188	16115.14495
189	16057.92205
190	16035.48471
191	15996.53318
192	15979.9258
193	15938.12215
194	15897.37581
195	15847.8375
196	15811.72365
197	15771.48061
198	15739.14276
199	15729.11959
200	15698.59905
201	15688.26804
202	15660.64776
203	15643.38669
204	15610.77779
205	15580.02758
206	15561.11872
207	15516.52652
208	15486.42132
209	15449.76285
210	15433.92149
211	15389.22389
212	15361.16655
213	15331.38909
214	15284.12773
215	15250.82088
216	15226.17912
217	15183.31994
218	15154.84598
219	15124.44491
220	15094.60801
221	15068.90199
222	15033.70145
223	14984.67801
224	14948.1064
225	14935.81526
226	14917.47705
227	14874.80288
228	14836.15203
229	14799.87146
230	14780.09678
231	14758.43574
232	14724.09052
233	14679.51737
234	14663.29347
235	14649.46297
236	14617.20068
237	14572.80227
238	14549.27738
239	14514.39787
240	14479.91642
241	14450.42802
242	14415.2904
243	14394.9091
244	14367.40007
245	14345.47624
246	14310.71543
247	14299.95411
248	14273.35551
249	14249.15733
250	14222.48494
251	14194.50578
252	14156.4637
253	14117.5894
254	14082.73846
255	14056.8476
256	14035.71636
257	14007.03891
258	13993.3966
259	13957.50147
260	13920.56995
261	13897.51897
262	13887.46541
263	13843.05393
264	13805.07211
265	13796.44076
266	13789.82118
267	13784.59866
268	13780.33539
269	13752.4301
270	13715.94747
271	13680.77431
272	13656.96704
273	13634.22502
274	13598.47634
275	13557.90262
276	13527.50872
277	13503.49774
278	13469.90973
279	13452.55921
280	13419.17466
281	13378.89041
282	13351.26193
283	13328.71552
284	13312.28771
285	13301.05738
286	13285.14392
287	13269.90536
288	13254.32026
289	13225.93197
290	13201.6781
291	13169.11311
292	13159.08029
293	13150.9642
294	13132.65189
295	13128.24925
296	13122.58307
297	13094.57534
298	13091.08236
299	13061.26536
300	13036.93054
301	13012.73884
302	12997.71803
303	12971.72158
304	12964.54228
305	12940.8984
306	12919.84819
307	12887.39887
308	12869.51468
309	12840.9139
310	12837.26884
311	12814.16965
312	12799.25946
313	12790.97253
314	12787.10207
315	12764.24477
316	12727.62004
317	12693.66395
318	12673.36136
319	12648.76818
320	12622.39409
321	12603.52377
322	12592.27616
323	12568.79446
324	12539.83466
325	12509.34123
326	12486.39777
327	12484.15738
328	12467.53311
329	12456.41395
330	12433.57712
331	12425.3909
332	12396.79882
333	12370.81778
334	12345.72078
335	12320.07059
336	12309.43213
337	12285.25539
338	12260.75191
339	12258.45005
340	12230.72457
341	12221.56001
342	12203.77586
343	12180.10782
344	12174.40017
345	12152.12883
346	12140.18187
347	12120.11159
348	12096.70717
349	12088.38419
350	12079.83254
351	12035.26358
352	12033.04307
353	12011.42588
354	12003.68671
355	11988.69022
356	11983.174
357	11956.02813
358	11925.46085
359	11905.23369
360	11874.76843
361	11856.59595
362	11843.18194
363	11811.5789
364	11800.25708
365	11772.49001
366	11746.43402
367	11710.41022
368	11704.92171
369	11676.06389
370	11649.87297
371	11633.07893
372	11622.0632
373	11600.46776
374	11580.22305
375	11573.54361
376	11559.72055
377	11536.21351
378	11519.37362
379	11491.16661
380	11472.08242
381	11455.22659
382	11436.2588
383	11427.97578
384	11418.93067
385	11402.74425
386	11380.25343
387	11368.92241
388	11352.45501
389	11337.14675
390	11319.88628
391	11318.1473
392	11300.95443
393	11292.45316
394	11264.5919
395	11247.12145
396	11242.87256
397	11218.38074
398	11192.07093
399	11164.29485
400	11159.64825
401	11153.52728
402	11133.09339
403	11102.68472
404	11085.86932
405	11070.45672
406	11061.89179
407	11046.44046
408	11040.12838
409	11037.86427
410	11018.08175
411	11000.41256
412	10996.82433
413	10981.19951
414	10964.11149
415	10939.43711
416	10935.46178
417	10927.94788
418	10903.98024
419	10890.10661
420	10875.51969
421	10859.19587
422	10845.48609
423	10827.9991
424	10808.75657
425	10798.37549
426	10790.75636
427	10777.06147
428	10749.98586
429	10720.88152
430	10707.67028
431	10684.85682
432	10663.09792
433	10656.56883
434	10654.46507
435	10639.449
436	10633.26395
437	10613.93361
438	10590.73363
439	10588.72909
440	10574.48274
441	10558.03563
442	10546.6405
443	10536.99631
444	10522.39858
445	10499.65036
446	10490.7293
447	10488.96743
448	10486.43817
449	10475.632
450	10453.89369
451	10447.91752
452	10435.24385
453	10413.414
454	10394.26531
455	10384.12458
456	10369.12054
457	10353.17684
458	10340.77074
459	10333.59928
460	10319.30378
461	10301.84522
462	10299.88271
463	10278.35897
464	10257.27089
465	10251.98812
466	10240.81365
467	10219.41734
468	10200.34896
469	10193.48273
470	10192.19442
471	10174.52281
472	10160.28268
473	10134.49804
474	10120.03943
475	10101.97805
476	10088.68126
477	10073.65702
478	10053.86519
479	10039.48323
480	10022.20863
481	10001.96587
482	9989.203799
483	9980.35231
484	9942.530904
485	9921.844417
486	9907.402433
487	9900.945824
488	9887.211753
489	9871.13001
490	9856.283626
491	9842.050913
492	9835.40581
493	9818.222062
494	9817.001443
495	9815.339928
496	9789.569233
497	9782.896379
498	9762.433028
499	9751.506771
500	9740.153261
501	9736.091658
502	9722.822829
503	9712.108679
504	9695.480312
505	9680.77907
506	9679.414724
507	9675.739283
508	9661.364344
509	9651.454198
510	9633.491473
511	9632.346095
512	9615.31642
513	9605.209342
514	9586.21347
515	9572.099298
516	9560.726587
517	9559.502422
518	9550.67198
519	9549.491544
520	9536.647027
521	9515.822993
522	9503.512832
523	9483.916051
524	9462.241605
525	9460.950627
526	9445.762828
527	9423.707806
528	9422.604137
529	9403.508422
530	9391.500698
531	9383.41769
532	9373.219729
533	9362.128223
534	9348.415077
535	9342.5232
536	9328.979098
537	9327.825427
538	9314.213227
539	9308.498568
540	9305.872877
541	9304.904345
542	9288.469611
543	9274.403927
544	9267.152091
545	9250.248773
546	9239.9293
547	9224.225972
548	9221.520582
549	9214.878097
550	9203.404757
551	9183.226921
552	9167.041961
553	9155.582881
554	9140.87979
555	9121.736483
556	9110.877091
557	9089.027908
558	9075.656727
559	9067.899226
560	9060.143636
561	9057.668655
562	9042.454535
563	9035.560632
564	9023.708079
565	9012.35265
566	8998.640998
567	8986.905496
568	8974.154683
569	8958.826931
570	8948.898044
571	8939.777606
572	8929.128246
573	8915.741137
574	8908.736169
575	8900.226514
576	8888.056666
577	8874.357551
578	8863.23548
579	8855.396045
580	8854.44631
581	8852.047205
582	8831.148441
583	8819.897009
584	8811.115001
585	8809.013344
586	8803.770023
587	8797.573352
588	8789.197425
589	8771.343154
590	8761.451669
591	8746.593143
592	8732.191952
593	8728.213046
594	8714.63511
595	8709.070337
596	8702.752588
597	8687.030395
598	8686.064935
599	8680.080437
600	8676.013554
601	8665.108712
602	8654.243664
603	8639.569378
604	8626.037288
605	8613.576795
606	8603.679596
607	8596.520842
608	8585.951842
609	8576.045825
610	8567.796171
611	8558.862326
612	8549.532528
613	8538.740446
614	8537.124092
615	8523.63162
616	8511.74953
617	8505.873759
618	8490.312021
619	8483.78829
620	8468.082022
621	8466.051166
622	8456.833674
623	8445.510609
624	8436.871304
625	8420.209406
626	8409.494063
627	8399.667109
628	8392.383972
629	8379.792871
630	8371.433598
631	8360.331098
632	8347.93969
633	8347.126813
634	8333.917662
635	8325.816462
636	8315.039515
637	8312.218362
638	8300.977655
639	8300.103863
640	8289.379406
641	8270.387207
642	8258.175462
643	8245.291015
644	8236.944479
645	8234.012085
646	8228.965453
647	8222.066888
648	8204.321338
649	8189.782764
650	8177.234525
651	8176.391221
652	8164.717528
653	8151.623477
654	8145.171669
655	8134.683578
656	8123.333224
657	8121.69546
658	8108.859692
659	8105.012005
660	8095.447641
661	8094.687715
662	8087.397772
663	8080.34958
664	8068.335163
665	8061.19742
666	8052.767601
667	8041.390537
668	8029.073882
669	8013.491556
670	8001.614747
671	7987.407323
672	7977.950872
673	7967.102126
674	7955.305547
675	7937.260307
676	7921.42595
677	7910.774882
678	7902.094298
679	7894.097198
680	7893.44577
681	7889.271604
682	7885.240341
683	7873.751003
684	7867.112957
685	7866.483228
686	7857.066984
687	7847.640158
688	7838.81434
689	7828.280282
690	7824.27396
691	7823.517652
692	7816.285801
693	7800.738956
694	7793.584221
695	7779.616712
696	7770.417708
697	7756.18784
698	7755.444436
699	7750.355777
700	7740.00442
701	7734.664971
702	7723.865692
703	7714.55612
704	7709.052063
705	7706.893926
706	7696.29143
707	7689.194546
708	7684.418991
709	7674.431851
710	7666.966588
711	7655.765387
712	7644.030623
713	7631.672784
714	7627.235977
715	7617.628443
716	7604.601134
717	7597.727308
718	7589.315516
719	7583.64154
720	7573.898067
721	7573.302957
722	7559.72491
723	7551.63924
724	7546.354011
725	7545.688803
726	7531.737611
727	7525.834894
728	7507.831531
729	7501.962844
730	7501.419257
731	7497.537236
732	7496.927683
733	7483.370187
734	7468.657487
735	7456.435929
736	7450.025237
737	7449.024203
738	7442.261553
739	7441.0739
