iter	Passed	Remaining
0	3	3208
1	4	2321
2	6	2056
3	8	2020
4	10	2174
5	12	2053
6	13	1964
7	15	1886
8	16	1832
9	18	1785
10	19	1755
11	20	1720
12	22	1685
13	23	1665
14	25	1647
15	26	1629
16	28	1631
17	29	1616
18	31	1601
19	32	1588
20	33	1576
21	35	1567
22	36	1557
23	38	1549
24	39	1540
25	41	1545
26	42	1536
27	44	1528
28	45	1520
29	46	1513
30	48	1510
31	49	1504
32	51	1500
33	52	1504
34	54	1496
35	55	1492
36	57	1486
37	58	1480
38	59	1478
39	61	1474
40	62	1469
41	64	1464
42	65	1459
43	67	1456
44	68	1455
45	70	1453
46	71	1449
47	72	1446
48	74	1442
49	75	1439
50	77	1439
51	78	1435
52	80	1431
53	81	1428
54	83	1430
55	84	1428
56	86	1423
57	87	1421
58	88	1417
59	91	1426
60	92	1421
61	93	1417
62	95	1415
63	96	1411
64	97	1407
65	99	1405
66	100	1402
67	102	1398
68	103	1395
69	104	1392
70	106	1390
71	107	1389
72	109	1387
73	110	1385
74	112	1383
75	113	1381
76	114	1378
77	116	1376
78	118	1375
79	119	1373
80	120	1370
81	122	1367
82	123	1365
83	124	1363
84	126	1360
85	127	1357
86	129	1354
87	130	1353
88	131	1350
89	133	1347
90	134	1345
91	136	1343
92	137	1342
93	138	1339
94	141	1343
95	142	1341
96	143	1338
97	145	1334
98	146	1332
99	148	1332
100	149	1330
101	151	1329
102	152	1327
103	153	1325
104	155	1324
105	157	1327
106	158	1326
107	160	1323
108	161	1322
109	163	1319
110	164	1317
111	166	1316
112	167	1314
113	168	1311
114	170	1309
115	171	1306
116	172	1303
117	174	1301
118	175	1299
119	176	1297
120	178	1295
121	179	1293
122	181	1290
123	182	1288
124	183	1286
125	185	1284
126	186	1282
127	187	1280
128	189	1278
129	190	1276
130	192	1274
131	193	1272
132	195	1271
133	196	1269
134	197	1267
135	199	1265
136	200	1264
137	202	1262
138	203	1261
139	205	1259
140	206	1257
141	207	1256
142	209	1254
143	210	1252
144	212	1251
145	213	1249
146	215	1248
147	216	1245
148	217	1242
149	219	1241
150	220	1239
151	221	1237
152	223	1236
153	224	1234
154	226	1232
155	227	1230
156	228	1228
157	230	1227
158	231	1225
159	233	1226
160	234	1224
161	236	1222
162	237	1220
163	239	1219
164	240	1217
165	242	1219
166	244	1221
167	246	1219
168	247	1217
169	249	1215
170	250	1214
171	251	1212
172	253	1210
173	254	1208
174	255	1206
175	257	1205
176	258	1203
177	260	1201
178	261	1199
179	262	1197
180	264	1197
181	265	1195
182	267	1193
183	268	1191
184	270	1189
185	271	1187
186	272	1185
187	274	1184
188	275	1182
189	276	1180
190	278	1178
191	279	1176
192	281	1175
193	282	1174
194	283	1172
195	285	1170
196	286	1169
197	288	1167
198	289	1165
199	291	1166
200	292	1164
201	294	1162
202	295	1161
203	297	1159
204	298	1159
205	300	1157
206	301	1155
207	302	1153
208	304	1154
209	306	1152
210	307	1150
211	309	1148
212	310	1146
213	311	1145
214	313	1143
215	314	1141
216	315	1139
217	317	1138
218	318	1136
219	320	1135
220	321	1133
221	323	1132
222	324	1130
223	325	1128
224	327	1126
225	328	1125
226	329	1123
227	331	1121
228	332	1119
229	333	1117
230	335	1116
231	337	1117
232	339	1115
233	340	1114
234	341	1112
235	343	1110
236	344	1109
237	345	1107
238	347	1106
239	349	1105
240	350	1103
241	351	1102
242	353	1101
243	354	1099
244	356	1097
245	357	1096
246	359	1094
247	360	1093
248	362	1092
249	363	1090
250	364	1089
251	366	1087
252	367	1085
253	369	1084
254	370	1083
255	372	1082
256	373	1080
257	375	1079
258	376	1078
259	378	1076
260	379	1074
261	381	1073
262	382	1071
263	383	1070
264	385	1069
265	386	1067
266	388	1065
267	389	1063
268	390	1061
269	392	1060
270	393	1058
271	395	1057
272	396	1055
273	397	1053
274	399	1052
275	400	1050
276	402	1049
277	403	1048
278	404	1046
279	406	1044
